sweep,camera,fps,noise_px,radius_noise,dropout,tap_px,physics,i,speed_kmh,length_m,line_m,restitution_true,n_dets,truth,calib_reproj_px,estimator,ok,verdict,verdict_k0,verdict_k0.5,verdict_k1.5,verdict_k2,bounce_observed,y_err_cm,z_err_cm,sigma_y_cm,sigma_z_cm,contact_x_err_cm,contact_y_err_cm,speed_err_kmh,rms_px,restitution
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,165,80.6,9.11,-0.218,0.401,51,not_out,3.2,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,166,142.3,9.24,0.428,0.529,31,not_out,3.01,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.3878,1.0013,2.293,0.7618,16.0704,1.4445,13.511,0.8777,0.5059
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,166,142.3,9.24,0.428,0.529,31,not_out,3.01,parabola,True,not_out,not_out,not_out,umpires_call,umpires_call,False,200.2976,77.7223,16.0567,13.8273,985.7979,93.9332,115.0145,1000.0,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,167,92.5,8.61,-0.597,0.475,46,not_out,3.1,anchored,True,not_out,not_out,not_out,not_out,not_out,True,11.4056,6.9267,2.4269,1.8136,5.0079,2.0531,12.7494,1.0587,0.433
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,167,92.5,8.61,-0.597,0.475,46,not_out,3.1,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,168,61.9,1.36,0.15,0.496,63,umpires_call,2.53,anchored,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,True,1.3105,13.2405,1.4897,30.2897,4.5763,1.3318,8.1849,1.5799,0.3624
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,168,61.9,1.36,0.15,0.496,63,umpires_call,2.53,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,17.4527,25.6949,81.1578,41.3257,138.1275,1.9306,25.8157,10.4412,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,169,73.7,6.26,-0.521,0.567,56,not_out,3.93,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.7875,3.5154,2.9871,2.1305,13.9717,0.5728,12.9015,1.0901,0.5397
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,169,73.7,6.26,-0.521,0.567,56,not_out,3.93,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,170,71.7,6.57,-0.269,0.598,58,not_out,2.48,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.173,2.198,1.6743,5.7657,3.0332,2.0356,17.5058,1.4808,0.5863
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,170,71.7,6.57,-0.269,0.598,58,not_out,2.48,parabola,True,umpires_call,not_out,not_out,umpires_call,umpires_call,False,44.3861,56.9676,86.4587,0.0,2823.5249,54.168,50.6835,13.9722,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,171,112.5,8.4,-0.102,0.635,41,not_out,2.62,anchored,True,not_out,not_out,not_out,not_out,not_out,True,2.2376,2.0816,2.1293,2.1139,8.3916,0.6801,22.0745,1.0952,0.5874
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,171,112.5,8.4,-0.102,0.635,41,not_out,2.62,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,47.0692,84.6526,449.8509,0.0,2977.172,6.006,22.0075,18.3265,0.55
